"","year","region","delay_prop"
"1",2003,"Mid West",0.191683067479596
"2",2003,"North East",0.191449206358312
"3",2003,"South",0.167073882962318
"4",2003,"West",0.149462432058284
"5",2004,"Mid West",0.220922261502661
"6",2004,"North East",0.218129844428564
"7",2004,"South",0.196426083342029
"8",2004,"West",0.185744506387583
"9",2005,"Mid West",0.205491912264495
"10",2005,"North East",0.255735505833027
"11",2005,"South",0.203612983655
"12",2005,"West",0.192155943350536
"13",2006,"Mid West",0.242386242472583
"14",2006,"North East",0.27148578763354
"15",2006,"South",0.217164469240513
"16",2006,"West",0.210847750469129
"17",2007,"Mid West",0.259757651952027
"18",2007,"North East",0.303240469943346
"19",2007,"South",0.233869135861508
"20",2007,"West",0.224839086261277
"21",2008,"Mid West",0.226826877262546
"22",2008,"North East",0.25499882868911
"23",2008,"South",0.212959426142085
"24",2008,"West",0.208156632337578
"25",2009,"Mid West",0.176113574384997
"26",2009,"North East",0.226820496341705
"27",2009,"South",0.201533726308784
"28",2009,"West",0.171975807876655
"29",2010,"Mid West",0.191142286441846
"30",2010,"North East",0.206222026981429
"31",2010,"South",0.174733950381413
"32",2010,"West",0.16777129573466
"33",2011,"Mid West",0.182641981620763
"34",2011,"North East",0.219593175039436
"35",2011,"South",0.173264047104295
"36",2011,"West",0.172286342412482
"37",2012,"Mid West",0.157081449208209
"38",2012,"North East",0.175188999985655
"39",2012,"South",0.159604818461799
"40",2012,"West",0.165267558670342
"41",2013,"Mid West",0.194842212131124
"42",2013,"North East",0.217706697223841
"43",2013,"South",0.189126480445804
"44",2013,"West",0.189884079466063
"45",2014,"Mid West",0.225059985273637
"46",2014,"North East",0.212300574289708
"47",2014,"South",0.195627854661562
"48",2014,"West",0.208132683621816
"49",2015,"Mid West",0.20627967578456
"50",2015,"North East",0.226887676424012
"51",2015,"South",0.189723389711207
"52",2015,"West",0.189034686928362
